nombre_campo,longitud,tipo,nemónico,catálogo,rango_claves
"Pregunta P7.14.03 ¿Cuánto les otorgaron (se usó) de (del) (crédito de otra institución pública)?","9","C","p7_14_03","p7_14_03","000001500…003000000,999999888,999999999"
"Pregunta P7.14A.03 ¿Esta cantidad fue en…?","1","C","p7_14a_03","p7_14a_03","1,2"
"Pregunta P7.13.04 Para financiar la compra (construcción) de la segunda vivienda, ¿alguna persona de este hogar utilizó crédito de una institución financiera privada (banco, sofol, caja de ahorro)?","1","C","p7_13_04","p7_13_04","1,2"
"Pregunta P7.14.04 ¿Cuánto les otorgaron (se usó) de (del) (crédito de una institución financiera privada (banco, sofol, caja de ahorro))?","9","C","p7_14_04","p7_14_04","000001000…050000000,999999888,999999999"
"Pregunta P7.14A.04 ¿Esta cantidad fue en…?","1","C","p7_14a_04","p7_14a_04","1,2"
"Pregunta P7.13.05 Para financiar la compra (construcción) de la segunda vivienda, ¿alguna persona de este hogar utilizó crédito de alguna organización no lucrativa?","1","C","p7_13_05","p7_13_05","1,2"
"Pregunta P7.14.05 ¿Cuánto les otorgaron (se usó) de (del) (crédito de alguna organización no lucrativa)?","9","C","p7_14_05","p7_14_05","000002000…000300000,999999888,999999999"
"Pregunta P7.14A.05 ¿Esta cantidad fue en…?","1","C","p7_14a_05","p7_14a_05","1,2"
"Pregunta P7.13.06 Para financiar la compra (construcción) de la segunda vivienda, ¿alguna persona de este hogar utilizó préstamo de un familiar, amigo u otra persona?","1","C","p7_13_06","p7_13_06","1,2"
"Pregunta P7.14.06 ¿Cuánto les otorgaron (se usó) de (del) (préstamo de un familiar, amigo u otra persona)?","9","C","p7_14_06","p7_14_06","000000200…050000000,999999888,999999999"
"Pregunta P7.14A.06 ¿Esta cantidad fue en…?","1","C","p7_14a_06","p7_14a_06","1,2"
"Pregunta P7.13.07 Para financiar la compra (construcción) de la segunda vivienda, ¿alguna persona de este hogar utilizó sus propios recursos?","1","C","p7_13_07","p7_13_07","1,2"
"Pregunta P7.14.07 ¿Cuánto les otorgaron (se usó) de (del) (sus propios recursos)?","9","C","p7_14_07","p7_14_07","000000030…150000000,999999888,999999999"
"Pregunta P7.14A.07 ¿Esta cantidad fue en…?","1","C","p7_14a_07","p7_14a_07","1,2"
"Pregunta P7.13.08 Para financiar la compra (construcción) de la segunda vivienda, ¿alguna persona de este hogar utilizó subsidio Federal (CONAVI, FONHAPO, etcétera)?","1","C","p7_13_08","p7_13_08","1,2"
"Pregunta P7.14.08 ¿Cuánto les otorgaron (se usó) de (del) (subsidio Federal (CONAVI, FONHAPO, etcétera))?","9","C","p7_14_08","p7_14_08","000003000…000790000,999999888,999999999"
"Pregunta P7.14A.08 ¿Esta cantidad fue en…?","1","C","p7_14a_08","p7_14a_08","1,2"
"Pregunta P7.13.09 Para financiar la compra (construcción) de la segunda vivienda, ¿alguna persona de este hogar utilizó subsidio Estatal?","1","C","p7_13_09","p7_13_09","1,2"
"Pregunta P7.14.09 ¿Cuánto les otorgaron (se usó) de (del) (subsidio Estatal)?","9","C","p7_14_09","p7_14_09","000007000…007000000,999999888,999999999"
"Pregunta P7.14A.09 ¿Esta cantidad fue en…?","1","C","p7_14a_09","p7_14a_09","1,2"
"Pregunta P7.13.10 Para financiar la compra (construcción) de la segunda vivienda, ¿alguna persona de este hogar utilizó subsidio Municipal?","1","C","p7_13_10","p7_13_10","1,2"
"Pregunta P7.14.10 ¿Cuánto les otorgaron (se usó) de (del) (subsidio Municipal)?","9","C","p7_14_10","p7_14_10","000005000…000120000,999999888,999999999"
"Pregunta P7.14A.10 ¿Esta cantidad fue en…?","1","C","p7_14a_10","p7_14a_10","1,2"
"Pregunta P7.15 ¿Alguna persona de este hogar compró el terreno para la construcción de la segunda vivienda?","1","C","p7_15","p7_15","1,2"
"Pregunta P7.16 ¿El terreno donde construyó se obtuvo…?","1","C","p7_16","p7_16","1…3"
"Pregunta P7.17 ¿Cuánto se pagó por el terreno o lote donde se construyó la segunda vivienda?","9","C","p7_17","p7_17","000000100…070000000,900000000,999999888,999999999"
"Pregunta P7.17A ¿Esta cantidad es en…?","1","C","p7_17a","p7_17a","1,2"
"Pregunta P7.18.1 Para la construcción de la segunda vivienda, durante 2019 ¿alguna persona de este hogar gastó en servicios de diseño y trazado de la vivienda?","1","C","p7_18_1","p7_18_1","1,2"
"Pregunta P7.18A.1 ¿Cuánto se gastó en (servicios de diseño y trazado de la vivienda)?","9","C","p7_18a_1","p7_18a_1","000000550…000070000,999999888,999999999"
"Pregunta P7.18.2 Para la construcción de la segunda vivienda, durante 2019 ¿alguna persona de este hogar gastó en servicios de división y preparación del terreno?","1","C","p7_18_2","p7_18_2","1,2"
"Pregunta P7.18A.2 ¿Cuánto se gastó en (servicios de división y preparación del terreno)?","9","C","p7_18a_2","p7_18a_2","000000250…000500000,999999888,999999999"
"Pregunta P7.18.3 Para la construcción de la segunda vivienda, durante 2019 ¿alguna persona de este hogar gastó en servicios de demolición de otra vivienda?","1","C","p7_18_3","p7_18_3","1,2"
"Pregunta P7.18A.3 ¿Cuánto se gastó en (servicios de demolición de otra vivienda)?","9","C","p7_18a_3","p7_18a_3","000002000…000010000,999999888,999999999"
"Pregunta P7.18.4 Para la construcción de la segunda vivienda, durante 2019 ¿alguna persona de este hogar gastó en licencia o permiso para construir?","1","C","p7_18_4","p7_18_4","1,2"
"Pregunta P7.18A.4 ¿Cuánto se gastó en (licencia o permiso para construir)?","9","C","p7_18a_4","p7_18a_4","000000500…000200000,999999888,999999999"
"Pregunta P7.18.5 Para la construcción de la segunda vivienda, durante 2019 ¿alguna persona de este hogar gastó en otros servicios para la construcción de la segunda vivienda (avalúo de terreno, licencia de uso de suelo, registro público de la propiedad)?","1","C","p7_18_5","p7_18_5","1,2"
"Pregunta P7.18A.5 ¿Cuánto se gastó en (otros servicios para la construcción de la segunda vivienda (avalúo de terreno, licencia de uso de suelo, registro público de la propiedad))?","9","C","p7_18a_5","p7_18a_5","000000400…000025000,999999888,999999999"
"Pregunta P7.19.1 Durante 2019, para la segunda vivienda ¿alguna persona de este hogar gastó en servicios notariales para la escrituración de la segunda vivienda?","1","C","p7_19_1","p7_19_1","1,2"
"Pregunta P7.19A.1 ¿Cuánto se gastó en (gastó en servicios notariales para la escrituración de la segunda vivienda)?","9","C","p7_19a_1","p7_19a_1","000000200…000600000,999999888,999999999"
"Pregunta P7.19.2 Durante 2019, para la segunda vivienda ¿alguna persona de este hogar realizó otros gastos derivados de la compra (construcción) de la segunda vivienda (impuestos y honorarios del notario)?","1","C","p7_19_2","p7_19_2","1,2"
"Pregunta P7.19A.2 ¿Cuánto se gastó en (realizó otros gastos derivados de la compra (construcción) de la segunda vivienda (impuestos y honorarios del notario))?","9","C","p7_19a_2","p7_19a_2","000000190…099999999,999999888,999999999"
"Pregunta P7.20.1 Durante el 2019, ¿a la segunda vivienda se le hizo alguna construcción de paredes, pisos, techos?","1","C","p7_20_1","p7_20_1","1,2"
"Pregunta P7.20A.1.1 Para la (construcción de paredes, pisos, techos), ¿cuánto se gastó en materiales?","9","C","p7_20a_1_1","p7_20a_1_1","000000000,000000500…001500000,999999888,999999999"
"Pregunta P7.20A.1.2 Para la (construcción de paredes, pisos, techos), ¿cuánto se gastó en sueldos y salarios?","9","C","p7_20a_1_2","p7_20a_1_2","000000000,000000300…001000000,999999888,999999999"
"Pregunta P7.20A.1.3 Para la (construcción de paredes, pisos, techos), ¿cuánto se gastó en licencia o permiso para construir?","9","C","p7_20a_1_3","p7_20a_1_3","000000000,000000122…000060000,999999888,999999999"
"Pregunta P7.20.2 Durante el 2019, ¿a la segunda vivienda se le hizo alguna ampliación como construir nuevos cuartos?","1","C","p7_20_2","p7_20_2","1,2"
"Pregunta P7.20A.2.1 Para la (ampliación como construir nuevos cuartos), ¿cuánto se gastó en materiales?","9","C","p7_20a_2_1","p7_20a_2_1","000000000,000001500…001000000,999999888,999999999"
"Pregunta P7.20A.2.2 Para la (ampliación como construir nuevos cuartos), ¿cuánto se gastó en sueldos y salarios?","9","C","p7_20a_2_2","p7_20a_2_2","000000000,000000500…000300000,999999888,999999999"
"Pregunta P7.20A.2.3 Para la (ampliación como construir nuevos cuartos), ¿cuánto se gastó en licencia o permiso para construir?","9","C","p7_20a_2_3","p7_20a_2_3","000000000,000000500…000018000,999999888,999999999"
"Pregunta P7.20.3 Durante el 2019, ¿a la segunda vivienda se le hizo alguna renovación, rehabilitación o reforzamiento de la parte estructural como un cambio o construcción de trabes, paredes, cimientos, techos, muros, vigas o pisos?","1","C","p7_20_3","p7_20_3","1,2"
"Pregunta P7.20A.3.1 Para la (renovación, rehabilitación o reforzamiento de la parte estructural como un cambio o construcción de trabes, paredes, cimientos, techos, muros, vigas o pisos), ¿cuánto se gastó en materiales?","9","C","p7_20a_3_1","p7_20a_3_1","000000000,000000300…000500000,999999888,999999999"
"Pregunta P7.20A.3.2 Para la (renovación, rehabilitación o reforzamiento de la parte estructural como un cambio o construcción de trabes, paredes, cimientos, techos, muros, vigas o pisos), ¿cuánto se gastó en sueldos y salarios?","9","C","p7_20a_3_2","p7_20a_3_2","000000000,000000200…000275000,999999888,999999999"
"Pregunta P7.20A.3.3 Para la (renovación, rehabilitación o reforzamiento de la parte estructural como un cambio o construcción de trabes, paredes, cimientos, techos, muros, vigas o pisos), ¿cuánto se gastó en licencia o permiso para construir?","9","C","p7_20a_3_3","p7_20a_3_3","000000000,000001100…000010000,999999888,999999999"
"Pregunta P7.20.4 Durante el 2019, ¿a la segunda vivienda se le hizo alguna reparación menor o mantenimiento?","1","C","p7_20_4","p7_20_4","1,2"
"Pregunta P7.20A.4.1 Para la (reparación menor o mantenimiento), ¿cuánto se gastó en materiales?","9","C","p7_20a_4_1","p7_20a_4_1","000000000,000000100…000200000,999999888,999999999"
"Pregunta P7.20A.4.2 Para la (reparación menor o mantenimiento), ¿cuánto se gastó en sueldos y salarios?","9","C","p7_20a_4_2","p7_20a_4_2","000000000,000000100…000060000,999999888,999999999"
"Pregunta P7.20.5 Durante el 2019, ¿a la segunda vivienda se le hizo alguna remodelación?","1","C","p7_20_5","p7_20_5","1,2"
"Pregunta P7.20A.5.1 Para la (remodelación), ¿cuánto se gastó en materiales?","9","C","p7_20a_5_1","p7_20a_5_1","000000000,000000550…000500000,999999888,999999999"
"Pregunta P7.20A.5.2 Para la (remodelación), ¿cuánto se gastó en sueldos y salarios?","9","C","p7_20a_5_2","p7_20a_5_2","000000000,000000500…000100000,999999888,999999999"
"Pregunta P7.21.1 Para financiar este gasto, ¿alguna persona de este hogar utilizó crédito de una institución pública?","1","C","p7_21_1","p7_21_1","1,2"
"Pregunta P7.21A.1 ¿Qué cantidad se obtuvo del (de) (crédito de una institución pública)?","9","C","p7_21a_1","p7_21a_1","000001200…000300000,999999888,999999999"
"Pregunta P7.21.2 Para financiar este gasto, ¿alguna persona de este hogar utilizó crédito de una institución privada (banco, sofol, caja de ahorro)?","1","C","p7_21_2","p7_21_2","1,2"
"Pregunta P7.21A.2 ¿Qué cantidad se obtuvo del (de) (crédito de una institución privada (banco, sofol, caja de ahorro))?","9","C","p7_21a_2","p7_21a_2","000001000…000400000,999999888,999999999"
"Pregunta P7.21.3 Para financiar este gasto, ¿alguna persona de este hogar utilizó crédito de una organización no lucrativa?","1","C","p7_21_3","p7_21_3","1,2"
"Pregunta P7.21A.3 ¿Qué cantidad se obtuvo del (de) (crédito de una organización no lucrativa)?","9","C","p7_21a_3","p7_21a_3","000002000…000130000,999999888,999999999"
"Pregunta P7.21.4 Para financiar este gasto, ¿alguna persona de este hogar utilizó préstamo de un familiar, amigo u otra persona?","1","C","p7_21_4","p7_21_4","1,2"
"Pregunta P7.21A.4 ¿Qué cantidad se obtuvo del (de) (préstamo de un familiar, amigo u otra persona)?","9","C","p7_21a_4","p7_21a_4","000001200…000200000,999999888,999999999"
"Pregunta P7.21.5 Para financiar este gasto, ¿alguna persona de este hogar utilizó sus propios recursos?","1","C","p7_21_5","p7_21_5","1,2"
"Pregunta P7.21A.5 ¿Qué cantidad se obtuvo del (de) (sus propios recursos)?","9","C","p7_21a_5","p7_21a_5","000000200…003000000,999999888,999999999"
"Pregunta P7.21.6 Para financiar este gasto, ¿alguna persona de este hogar utilizó subsidio Federal (CONAVI, FONHAPO, etcétera)?","1","C","p7_21_6","p7_21_6","1,2"
"Pregunta P7.21A.6 ¿Qué cantidad se obtuvo del (de) (subsidio Federal (CONAVI, FONHAPO, etcétera)?","9","C","p7_21a_6","p7_21a_6","000028000…000200000,999999888,999999999"
"Pregunta P7.21.7 Para financiar este gasto, ¿alguna persona de este hogar utilizó subsidio Estatal?","1","C","p7_21_7","p7_21_7","1,2"
"Pregunta P7.21A.7 ¿Qué cantidad se obtuvo del (de) (subsidio Estatal)?","9","C","p7_21a_7","p7_21a_7","000005000,999999888,999999999"
"Pregunta P7.21.8 Para financiar este gasto, ¿alguna persona de este hogar utilizó subsidio Municipal?","1","C","p7_21_8","p7_21_8","1,2"
"Pregunta P7.21A.8 ¿Qué cantidad se obtuvo del (de) (subsidio Municipal)?","9","C","p7_21a_8","p7_21a_8","000001500…000002000,999999888,999999999"
"Pregunta P7.22.1 Durante el 2019, ¿alguna persona de este hogar recibió gratuitamente material para construir la vivienda?","1","C","p7_22_1","p7_22_1","1,2"
"Pregunta P7.23.1.1 ¿Quién otorgó el (material para construir la vivienda)? - GOBIERNO","1","C","p7_23_1_1","p7_23_1_1","0,1"
"Pregunta P7.23.1.2 ¿Quién otorgó el (material para construir la vivienda)? - ORGANIZACIONES NO LUCRATIVAS","1","C","p7_23_1_2","p7_23_1_2","0,1"
"Pregunta P7.23.1.3 ¿Quién otorgó el (material para construir la vivienda)? - EMPRESAS","1","C","p7_23_1_3","p7_23_1_3","0,1"
"Pregunta P7.23.1.4 ¿Quién otorgó el (material para construir la vivienda)? - OTRO HOGAR","1","C","p7_23_1_4","p7_23_1_4","0,1"
"Pregunta P7.24.1.1 ¿En cuánto se estima el valor del apoyo en pesos? APOYO 1","9","C","p7_24_1_1","p7_24_1_1","000000600…000080000,999999888,999999999"
"Pregunta P7.24.1.2 ¿En cuánto se estima el valor del apoyo en pesos? APOYO 2","9","C","p7_24_1_2","p7_24_1_2","000000001…899999999,999999888,999999999"
"Pregunta P7.22.2 Durante el 2019, ¿alguna persona de este hogar recibió gratuitamente material para ampliar la vivienda como construir nuevos cuartos?","1","C","p7_22_2","p7_22_2","1,2"
"Pregunta P7.23.2.1 ¿Quién otorgó el (material para ampliar la vivienda como construir nuevos cuartos)? - GOBIERNO","1","C","p7_23_2_1","p7_23_2_1","0,1"
"Pregunta P7.23.2.2 ¿Quién otorgó el (material para ampliar la vivienda como construir nuevos cuartos)? - ORGANIZACIONES NO LUCRATIVAS","1","C","p7_23_2_2","p7_23_2_2","0,1"
"Pregunta P7.23.2.3 ¿Quién otorgó el (material para ampliar la vivienda como construir nuevos cuartos)? - EMPRESAS","1","C","p7_23_2_3","p7_23_2_3","0,1"
"Pregunta P7.23.2.4 ¿Quién otorgó el (material para ampliar la vivienda como construir nuevos cuartos)? - OTRO HOGAR","1","C","p7_23_2_4","p7_23_2_4","0,1"
"Pregunta P7.24.2.1 ¿En cuánto se estima el valor del apoyo en pesos? APOYO 1","9","C","p7_24_2_1","p7_24_2_1","000003000…000080000,999999888,999999999"
"Pregunta P7.24.2.2 ¿En cuánto se estima el valor del apoyo en pesos? APOYO 2","9","C","p7_24_2_2","p7_24_2_2","000000001…899999999,999999888,999999999"
"Pregunta P7.22.3 Durante el 2019, ¿alguna persona de este hogar recibió gratuitamente material para renovar, rehabilitar o reforzar la parte estructural de la vivienda como cambiar o incluir trabes, paredes, cimientos, techos, muros, vigas o pisos?","1","C","p7_22_3","p7_22_3","1,2"
"Pregunta P7.23.3.1 ¿Quién otorgó el (material para renovar, rehabilitar o reforzar la parte estructural de la vivienda como cambiar o incluir trabes, paredes, cimientos, techos, muros, vigas o pisos)? - GOBIERNO","1","C","p7_23_3_1","p7_23_3_1","0,1"
"Pregunta P7.23.3.2 ¿Quién otorgó el (material para renovar, rehabilitar o reforzar la parte estructural de la vivienda como cambiar o incluir trabes, paredes, cimientos, techos, muros, vigas o pisos)? - ORGANIZACIONES NO LUCRATIVAS","1","C","p7_23_3_2","p7_23_3_2","0,1"
"Pregunta P7.23.3.3 ¿Quién otorgó el (material para renovar, rehabilitar o reforzar la parte estructural de la vivienda como cambiar o incluir trabes, paredes, cimientos, techos, muros, vigas o pisos)? - EMPRESAS","1","C","p7_23_3_3","p7_23_3_3","0,1"
"Pregunta P7.23.3.4 ¿Quién otorgó el (material para renovar, rehabilitar o reforzar la parte estructural de la vivienda como cambiar o incluir trabes, paredes, cimientos, techos, muros, vigas o pisos)? - OTRO HOGAR","1","C","p7_23_3_4","p7_23_3_4","0,1"
"Pregunta P7.24.3.1 ¿En cuánto se estima el valor del apoyo en pesos? APOYO 1","9","C","p7_24_3_1","p7_24_3_1","000007200…000020000,999999888,999999999"
"Pregunta P7.24.3.2 ¿En cuánto se estima el valor del apoyo en pesos? APOYO 2","9","C","p7_24_3_2","p7_24_3_2","000000001…899999999,999999888,999999999"
"Pregunta P7.22.4 Durante el 2019, ¿alguna persona de este hogar recibió gratuitamente material para dar mantenimiento o hacer reparaciones?","1","C","p7_22_4","p7_22_4","1,2"
"Pregunta P7.23.4.1 ¿Quién otorgó el (material para dar mantenimiento o hacer reparaciones)? - GOBIERNO","1","C","p7_23_4_1","p7_23_4_1","0,1"
"Pregunta P7.23.4.2 ¿Quién otorgó el (material para dar mantenimiento o hacer reparaciones)? - ORGANIZACIONES NO LUCRATIVAS","1","C","p7_23_4_2","p7_23_4_2","0,1"
"Pregunta P7.23.4.3 ¿Quién otorgó el (material para dar mantenimiento o hacer reparaciones)? - EMPRESAS","1","C","p7_23_4_3","p7_23_4_3","0,1"
"Pregunta P7.23.4.4 ¿Quién otorgó el (material para dar mantenimiento o hacer reparaciones)? - OTRO HOGAR","1","C","p7_23_4_4","p7_23_4_4","0,1"
"Pregunta P7.24.4.1 ¿En cuánto se estima el valor del apoyo en pesos? APOYO 1","9","C","p7_24_4_1","p7_24_4_1","000000800…000050000,999999888,999999999"
"Pregunta P7.24.4.2 ¿En cuánto se estima el valor del apoyo en pesos? APOYO 2","9","C","p7_24_4_2","p7_24_4_2","000000001…899999999,999999888,999999999"
"Pregunta P7.22.5 Durante el 2019, ¿alguna persona de este hogar recibió gratuitamente otros apoyos en especie?","1","C","p7_22_5","p7_22_5","1,2"
"Pregunta P7.23.5.1 ¿Quién otorgó el (otros apoyos en especie)? - GOBIERNO","1","C","p7_23_5_1","p7_23_5_1","0,1"
"Pregunta P7.23.5.2 ¿Quién otorgó el (otros apoyos en especie)? - ORGANIZACIONES NO LUCRATIVAS","1","C","p7_23_5_2","p7_23_5_2","0,1"
"Pregunta P7.23.5.3 ¿Quién otorgó el (otros apoyos en especie)? - EMPRESAS","1","C","p7_23_5_3","p7_23_5_3","0,1"
"Pregunta P7.23.5.4 ¿Quién otorgó el (otros apoyos en especie)? - OTRO HOGAR","1","C","p7_23_5_4","p7_23_5_4","0,1"
"Pregunta P7.24.5.1 ¿En cuánto se estima el valor del apoyo en pesos? APOYO 1","9","C","p7_24_5_1","p7_24_5_1","000000700…000005000,999999888,999999999"
"Pregunta P7.24.5.2 ¿En cuánto se estima el valor del apoyo en pesos? APOYO 2","9","C","p7_24_5_2","p7_24_5_2","000000001…899999999,999999888,999999999"
"Pregunta P7.25.1 Durante 2019, ¿alguna persona de este hogar dedicó tiempo a construir la segunda vivienda?","1","C","p7_25_1","p7_25_1","1,2"
"Pregunta P7.26.1.1 ¿Cuántas horas dedicó a (construir la segunda vivienda) en el mes de diciembre de 2019?","3","C","p7_26_1_1","p7_26_1_1","000,004…240,999"
"Pregunta P7.26.1.2 ¿Cuántas horas dedicó a (construir la segunda vivienda) la última semana de diciembre 2019?","3","C","p7_26_1_2","p7_26_1_2","000,003…050,999"
"Pregunta P7.25.2 Durante 2019, ¿alguna persona de este hogar dedicó tiempo a ampliar la segunda vivienda como construir nuevos cuartos?","1","C","p7_25_2","p7_25_2","1,2"
"Pregunta P7.26.2.1 ¿Cuántas horas dedicó a (ampliar la segunda vivienda como construir nuevos cuartos) en el mes de diciembre de 2019?","3","C","p7_26_2_1","p7_26_2_1","000,014…181,999"
"Pregunta P7.26.2.2 ¿Cuántas horas dedicó a (ampliar la segunda vivienda como construir nuevos cuartos) la última semana de diciembre 2019?","3","C","p7_26_2_2","p7_26_2_2","000,006…120,999"
"Pregunta P7.25.3 Durante 2019, ¿alguna persona de este hogar dedicó tiempo a renovar, rehabilitar o reforzar la parte estructural de la segunda vivienda como cambiar o incluir trabes, paredes, cimientos, techos, muros, vigas o pisos?","1","C","p7_25_3","p7_25_3","1,2"
"Pregunta P7.26.3.1 ¿Cuántas horas dedicó a (renovar, rehabilitar o reforzar la parte estructural de la segunda vivienda como cambiar o incluir trabes, paredes, cimientos, techos, muros, vigas o pisos) en el mes de diciembre de 2019?","3","C","p7_26_3_1","p7_26_3_1","000,010…075,999"
"Pregunta P7.26.3.2 ¿Cuántas horas dedicó a (renovar, rehabilitar o reforzar la parte estructural de la segunda vivienda como cambiar o incluir trabes, paredes, cimientos, techos, muros, vigas o pisos) la última semana de diciembre 2019?","3","C","p7_26_3_2","p7_26_3_2","000,002…012,999"
"Pregunta P7.25.4 Durante 2019, ¿alguna persona de este hogar dedicó tiempo a dar mantenimiento o hacer reparaciones?","1","C","p7_25_4","p7_25_4","1,2"
"Pregunta P7.26.4.1 ¿Cuántas horas dedicó a (dar mantenimiento o hacer reparaciones) en el mes de diciembre de 2019?","3","C","p7_26_4_1","p7_26_4_1","000…150,999"
"Pregunta P7.26.4.2 ¿Cuántas horas dedicó a (dar mantenimiento o hacer reparaciones) la última semana de diciembre 2019?","3","C","p7_26_4_2","p7_26_4_2","000…080,999"
"Pregunta P7.25.5 Durante 2019, ¿alguna persona de este hogar dedicó tiempo a remodelar la segunda vivienda?","1","C","p7_25_5","p7_25_5","1,2"
"Pregunta P7.26.5.1 ¿Cuántas horas dedicó a (remodelar la segunda vivienda) en el mes de diciembre de 2019?","3","C","p7_26_5_1","p7_26_5_1","000,002…600,999"
"Pregunta P7.26.5.2 ¿Cuántas horas dedicó a (remodelar la segunda vivienda) la última semana de diciembre 2019?","3","C","p7_26_5_2","p7_26_5_2","000,002…014,999"
"Pregunta P7.27 ¿La segunda vivienda…?","1","C","p7_27","p7_27","1…8"
"Pregunta P7.28 ¿Cuál es el uso que se le da a la segunda vivienda?","1","C","p7_28","p7_28","1…3"
"Pregunta P7.29 ¿Cuánto se cobra al mes por la renta de la segunda vivienda?","5","C","p7_29","p7_29","00300…90000,98000,99888,99999"
"Pregunta P7.30 Si se rentara o alquilara la segunda vivienda, ¿cuánto se cobraría al mes?","5","C","p7_30","p7_30","00100…70000,98000,99888,99999"
"Pregunta P7.31 Si tuviera que venderse en este momento la segunda vivienda, ¿en cuánto se daría?","9","C","p7_31","p7_31","000000001…045000000,900000000,999999888,999999999"
"Pregunta P7.32A De la siguiente tarjeta, dígame la principal razón por la que decidió adquirir esta segunda vivienda. 7.32a ¿La principal?","2","C","p7_32a","p7_32a","01…09,98"
"Pregunta P7.32B De la siguiente tarjeta, dígame la principal razón por la que decidió adquirir esta segunda vivienda. 7.32b ¿Y la segunda?","2","C","p7_32b","p7_32b","01…09,98"
"Pregunta P7.33 ¿La segunda vivienda es…?","1","C","p7_33","p7_33","1…6"
"Pregunta P7.34 ¿De qué material es la mayor parte de las paredes de la segunda vivienda?","1","C","p7_34","p7_34","1…8"
"Pregunta P7.35 ¿De qué material es la mayor parte del techo de la segunda vivienda?","2","C","p7_35","p7_35","01…10"
"Pregunta P7.36 ¿De qué material es la mayor parte del piso de la segunda vivienda?","1","C","p7_36","p7_36","1…3"
"Pregunta P7.37 ¿Cuántos cuartos tiene en total la segunda vivienda, contando la cocina? (no cuente pasillos ni baños)","2","C","p7_37","","01…20"
"Pregunta P7.38.1 ¿Cuántos metros de construcción tiene la segunda vivienda?","3","C","p7_38_1","p7_38_1","009…969,997...999"
"Pregunta P7.38.2 ¿Cuántos metros de construcción tiene la segunda vivienda?","1","C","p7_38_2","p7_38_2","1…9"
